"year","step","area","maturity_stage","age","length","number"
1996,"2","1","lingimm","mat_ages","len44",4
1996,"2","1","lingimm","mat_ages","len52",9
1996,"2","1","lingimm","mat_ages","len60",11
1996,"2","1","lingimm","mat_ages","len68",5
1996,"2","1","lingimm","mat_ages","len76",5
1996,"2","1","lingimm","mat_ages","len84",4
1996,"2","1","lingmat","mat_ages","len100",5
1996,"2","1","lingmat","mat_ages","len108",6
1996,"2","1","lingmat","mat_ages","len124",1
1996,"2","1","lingmat","mat_ages","len60",1
1996,"2","1","lingmat","mat_ages","len68",2
1996,"2","1","lingmat","mat_ages","len76",7
1996,"2","1","lingmat","mat_ages","len84",5
1996,"2","1","lingmat","mat_ages","len92",7
1997,"2","1","lingimm","mat_ages","len100",1
1997,"2","1","lingimm","mat_ages","len20",1
1997,"2","1","lingimm","mat_ages","len36",2
1997,"2","1","lingimm","mat_ages","len44",3
1997,"2","1","lingimm","mat_ages","len52",11
1997,"2","1","lingimm","mat_ages","len60",10
1997,"2","1","lingimm","mat_ages","len68",5
1997,"2","1","lingimm","mat_ages","len76",9
1997,"2","1","lingimm","mat_ages","len84",6
1997,"2","1","lingimm","mat_ages","len92",1
1997,"2","1","lingmat","mat_ages","len100",8
1997,"2","1","lingmat","mat_ages","len108",1
1997,"2","1","lingmat","mat_ages","len116",1
1997,"2","1","lingmat","mat_ages","len52",1
1997,"2","1","lingmat","mat_ages","len60",1
1997,"2","1","lingmat","mat_ages","len68",6
1997,"2","1","lingmat","mat_ages","len76",4
1997,"2","1","lingmat","mat_ages","len84",6
1997,"2","1","lingmat","mat_ages","len92",9
2001,"2","1","lingimm","mat_ages","len36",1
2001,"2","1","lingimm","mat_ages","len44",2
2001,"2","1","lingimm","mat_ages","len52",3
2001,"2","1","lingimm","mat_ages","len60",2
2001,"2","1","lingimm","mat_ages","len68",4
2001,"2","1","lingimm","mat_ages","len76",1
2001,"2","1","lingmat","mat_ages","len100",2
2001,"2","1","lingmat","mat_ages","len108",1
2001,"2","1","lingmat","mat_ages","len116",3
2001,"2","1","lingmat","mat_ages","len52",2
2001,"2","1","lingmat","mat_ages","len60",1
2001,"2","1","lingmat","mat_ages","len68",6
2001,"2","1","lingmat","mat_ages","len76",10
2001,"2","1","lingmat","mat_ages","len84",9
2001,"2","1","lingmat","mat_ages","len92",7
2003,"2","1","lingimm","mat_ages","len28",1
2003,"2","1","lingimm","mat_ages","len36",1
2003,"2","1","lingimm","mat_ages","len44",9
2003,"2","1","lingimm","mat_ages","len52",7
2003,"2","1","lingimm","mat_ages","len60",5
2003,"2","1","lingimm","mat_ages","len68",9
2003,"2","1","lingimm","mat_ages","len76",3
2003,"2","1","lingimm","mat_ages","len84",1
2003,"2","1","lingmat","mat_ages","len100",6
2003,"2","1","lingmat","mat_ages","len108",4
2003,"2","1","lingmat","mat_ages","len116",1
2003,"2","1","lingmat","mat_ages","len124",2
2003,"2","1","lingmat","mat_ages","len148",1
2003,"2","1","lingmat","mat_ages","len44",1
2003,"2","1","lingmat","mat_ages","len60",8
2003,"2","1","lingmat","mat_ages","len68",9
2003,"2","1","lingmat","mat_ages","len76",10
2003,"2","1","lingmat","mat_ages","len84",9
2003,"2","1","lingmat","mat_ages","len92",8
2004,"2","1","lingimm","mat_ages","len20",1
2004,"2","1","lingimm","mat_ages","len28",2
2004,"2","1","lingimm","mat_ages","len36",3
2004,"2","1","lingimm","mat_ages","len44",7
2004,"2","1","lingimm","mat_ages","len52",9
2004,"2","1","lingimm","mat_ages","len60",12
2004,"2","1","lingimm","mat_ages","len68",11
2004,"2","1","lingimm","mat_ages","len76",3
2004,"2","1","lingimm","mat_ages","len84",2
2004,"2","1","lingimm","mat_ages","len92",3
2004,"2","1","lingmat","mat_ages","len100",5
2004,"2","1","lingmat","mat_ages","len108",3
2004,"2","1","lingmat","mat_ages","len116",2
2004,"2","1","lingmat","mat_ages","len132",1
2004,"2","1","lingmat","mat_ages","len60",1
2004,"2","1","lingmat","mat_ages","len68",12
2004,"2","1","lingmat","mat_ages","len76",15
2004,"2","1","lingmat","mat_ages","len84",18
2004,"2","1","lingmat","mat_ages","len92",7
2005,"2","1","lingimm","mat_ages","len20",1
2005,"2","1","lingimm","mat_ages","len28",7
2005,"2","1","lingimm","mat_ages","len36",5
2005,"2","1","lingimm","mat_ages","len44",12
2005,"2","1","lingimm","mat_ages","len52",9
2005,"2","1","lingimm","mat_ages","len60",5
2005,"2","1","lingimm","mat_ages","len68",11
2005,"2","1","lingimm","mat_ages","len76",7
2005,"2","1","lingimm","mat_ages","len84",1
2005,"2","1","lingmat","mat_ages","len100",7
2005,"2","1","lingmat","mat_ages","len108",3
2005,"2","1","lingmat","mat_ages","len116",2
2005,"2","1","lingmat","mat_ages","len132",1
2005,"2","1","lingmat","mat_ages","len60",2
2005,"2","1","lingmat","mat_ages","len68",9
2005,"2","1","lingmat","mat_ages","len76",13
2005,"2","1","lingmat","mat_ages","len84",17
2005,"2","1","lingmat","mat_ages","len92",10
2006,"2","1","lingimm","mat_ages","len20",1
2006,"2","1","lingimm","mat_ages","len36",16
2006,"2","1","lingimm","mat_ages","len44",18
2006,"2","1","lingimm","mat_ages","len52",15
2006,"2","1","lingimm","mat_ages","len60",26
2006,"2","1","lingimm","mat_ages","len68",11
2006,"2","1","lingimm","mat_ages","len76",10
2006,"2","1","lingimm","mat_ages","len84",2
2006,"2","1","lingimm","mat_ages","len92",2
2006,"2","1","lingmat","mat_ages","len100",5
2006,"2","1","lingmat","mat_ages","len108",6
2006,"2","1","lingmat","mat_ages","len116",2
2006,"2","1","lingmat","mat_ages","len124",2
2006,"2","1","lingmat","mat_ages","len132",2
2006,"2","1","lingmat","mat_ages","len148",1
2006,"2","1","lingmat","mat_ages","len52",1
2006,"2","1","lingmat","mat_ages","len60",3
2006,"2","1","lingmat","mat_ages","len68",8
2006,"2","1","lingmat","mat_ages","len76",15
2006,"2","1","lingmat","mat_ages","len84",15
2006,"2","1","lingmat","mat_ages","len92",11
2007,"2","1","lingimm","mat_ages","len108",1
2007,"2","1","lingimm","mat_ages","len28",2
2007,"2","1","lingimm","mat_ages","len36",13
2007,"2","1","lingimm","mat_ages","len44",12
2007,"2","1","lingimm","mat_ages","len52",25
2007,"2","1","lingimm","mat_ages","len60",18
2007,"2","1","lingimm","mat_ages","len68",16
2007,"2","1","lingimm","mat_ages","len76",4
2007,"2","1","lingimm","mat_ages","len84",2
2007,"2","1","lingmat","mat_ages","len100",7
2007,"2","1","lingmat","mat_ages","len108",5
2007,"2","1","lingmat","mat_ages","len124",2
2007,"2","1","lingmat","mat_ages","len132",1
2007,"2","1","lingmat","mat_ages","len140",3
2007,"2","1","lingmat","mat_ages","len44",1
2007,"2","1","lingmat","mat_ages","len52",2
2007,"2","1","lingmat","mat_ages","len60",4
2007,"2","1","lingmat","mat_ages","len68",21
2007,"2","1","lingmat","mat_ages","len76",32
2007,"2","1","lingmat","mat_ages","len84",29
2007,"2","1","lingmat","mat_ages","len92",24
2010,"2","1","lingimm","mat_ages","len20",1
2010,"2","1","lingimm","mat_ages","len28",4
2010,"2","1","lingimm","mat_ages","len36",11
2010,"2","1","lingimm","mat_ages","len44",14
2010,"2","1","lingimm","mat_ages","len52",28
2010,"2","1","lingimm","mat_ages","len60",31
2010,"2","1","lingimm","mat_ages","len68",20
2010,"2","1","lingimm","mat_ages","len76",7
2010,"2","1","lingimm","mat_ages","len84",2
2010,"2","1","lingmat","mat_ages","len100",13
2010,"2","1","lingmat","mat_ages","len108",7
2010,"2","1","lingmat","mat_ages","len116",4
2010,"2","1","lingmat","mat_ages","len132",2
2010,"2","1","lingmat","mat_ages","len44",2
2010,"2","1","lingmat","mat_ages","len52",2
2010,"2","1","lingmat","mat_ages","len60",18
2010,"2","1","lingmat","mat_ages","len68",23
2010,"2","1","lingmat","mat_ages","len76",19
2010,"2","1","lingmat","mat_ages","len84",21
2010,"2","1","lingmat","mat_ages","len92",12
2011,"2","1","lingimm","mat_ages","len100",1
2011,"2","1","lingimm","mat_ages","len108",1
2011,"2","1","lingimm","mat_ages","len28",5
2011,"2","1","lingimm","mat_ages","len36",27
2011,"2","1","lingimm","mat_ages","len44",38
2011,"2","1","lingimm","mat_ages","len52",49
2011,"2","1","lingimm","mat_ages","len60",64
2011,"2","1","lingimm","mat_ages","len68",64
2011,"2","1","lingimm","mat_ages","len76",36
2011,"2","1","lingimm","mat_ages","len84",11
2011,"2","1","lingimm","mat_ages","len92",3
2011,"2","1","lingmat","mat_ages","len100",20
2011,"2","1","lingmat","mat_ages","len108",10
2011,"2","1","lingmat","mat_ages","len116",7
2011,"2","1","lingmat","mat_ages","len124",5
2011,"2","1","lingmat","mat_ages","len132",4
2011,"2","1","lingmat","mat_ages","len140",1
2011,"2","1","lingmat","mat_ages","len148",1
2011,"2","1","lingmat","mat_ages","len44",1
2011,"2","1","lingmat","mat_ages","len52",3
2011,"2","1","lingmat","mat_ages","len60",19
2011,"2","1","lingmat","mat_ages","len68",54
2011,"2","1","lingmat","mat_ages","len76",58
2011,"2","1","lingmat","mat_ages","len84",32
2011,"2","1","lingmat","mat_ages","len92",26
2012,"2","1","lingimm","mat_ages","len100",1
2012,"2","1","lingimm","mat_ages","len28",5
2012,"2","1","lingimm","mat_ages","len36",10
2012,"2","1","lingimm","mat_ages","len44",38
2012,"2","1","lingimm","mat_ages","len52",54
2012,"2","1","lingimm","mat_ages","len60",55
2012,"2","1","lingimm","mat_ages","len68",49
2012,"2","1","lingimm","mat_ages","len76",49
2012,"2","1","lingimm","mat_ages","len84",16
2012,"2","1","lingimm","mat_ages","len92",2
2012,"2","1","lingmat","mat_ages","len100",27
2012,"2","1","lingmat","mat_ages","len108",18
2012,"2","1","lingmat","mat_ages","len116",6
2012,"2","1","lingmat","mat_ages","len124",9
2012,"2","1","lingmat","mat_ages","len132",4
2012,"2","1","lingmat","mat_ages","len140",3
2012,"2","1","lingmat","mat_ages","len148",3
2012,"2","1","lingmat","mat_ages","len44",1
2012,"2","1","lingmat","mat_ages","len52",2
2012,"2","1","lingmat","mat_ages","len60",17
2012,"2","1","lingmat","mat_ages","len68",45
2012,"2","1","lingmat","mat_ages","len76",59
2012,"2","1","lingmat","mat_ages","len84",44
2012,"2","1","lingmat","mat_ages","len92",31
2013,"2","1","lingimm","mat_ages","len100",1
2013,"2","1","lingimm","mat_ages","len28",3
2013,"2","1","lingimm","mat_ages","len36",7
2013,"2","1","lingimm","mat_ages","len44",20
2013,"2","1","lingimm","mat_ages","len52",30
2013,"2","1","lingimm","mat_ages","len60",81
2013,"2","1","lingimm","mat_ages","len68",86
2013,"2","1","lingimm","mat_ages","len76",43
2013,"2","1","lingimm","mat_ages","len84",22
2013,"2","1","lingimm","mat_ages","len92",2
2013,"2","1","lingmat","mat_ages","len100",20
2013,"2","1","lingmat","mat_ages","len108",16
2013,"2","1","lingmat","mat_ages","len116",8
2013,"2","1","lingmat","mat_ages","len124",3
2013,"2","1","lingmat","mat_ages","len132",3
2013,"2","1","lingmat","mat_ages","len140",4
2013,"2","1","lingmat","mat_ages","len148",2
2013,"2","1","lingmat","mat_ages","len52",3
2013,"2","1","lingmat","mat_ages","len60",25
2013,"2","1","lingmat","mat_ages","len68",53
2013,"2","1","lingmat","mat_ages","len76",71
2013,"2","1","lingmat","mat_ages","len84",73
2013,"2","1","lingmat","mat_ages","len92",57
2014,"2","1","lingimm","mat_ages","len100",1
2014,"2","1","lingimm","mat_ages","len108",2
2014,"2","1","lingimm","mat_ages","len28",2
2014,"2","1","lingimm","mat_ages","len36",3
2014,"2","1","lingimm","mat_ages","len44",9
2014,"2","1","lingimm","mat_ages","len52",20
2014,"2","1","lingimm","mat_ages","len60",35
2014,"2","1","lingimm","mat_ages","len68",47
2014,"2","1","lingimm","mat_ages","len76",32
2014,"2","1","lingimm","mat_ages","len84",23
2014,"2","1","lingimm","mat_ages","len92",1
2014,"2","1","lingmat","mat_ages","len100",25
2014,"2","1","lingmat","mat_ages","len108",16
2014,"2","1","lingmat","mat_ages","len116",7
2014,"2","1","lingmat","mat_ages","len124",6
2014,"2","1","lingmat","mat_ages","len132",2
2014,"2","1","lingmat","mat_ages","len140",3
2014,"2","1","lingmat","mat_ages","len148",2
2014,"2","1","lingmat","mat_ages","len60",19
2014,"2","1","lingmat","mat_ages","len68",35
2014,"2","1","lingmat","mat_ages","len76",71
2014,"2","1","lingmat","mat_ages","len84",64
2014,"2","1","lingmat","mat_ages","len92",41
2015,"2","1","lingimm","mat_ages","len100",3
2015,"2","1","lingimm","mat_ages","len28",2
2015,"2","1","lingimm","mat_ages","len36",8
2015,"2","1","lingimm","mat_ages","len44",5
2015,"2","1","lingimm","mat_ages","len52",18
2015,"2","1","lingimm","mat_ages","len60",31
2015,"2","1","lingimm","mat_ages","len68",23
2015,"2","1","lingimm","mat_ages","len76",38
2015,"2","1","lingimm","mat_ages","len84",19
2015,"2","1","lingimm","mat_ages","len92",10
2015,"2","1","lingmat","mat_ages","len100",46
2015,"2","1","lingmat","mat_ages","len108",20
2015,"2","1","lingmat","mat_ages","len116",12
2015,"2","1","lingmat","mat_ages","len124",4
2015,"2","1","lingmat","mat_ages","len132",2
2015,"2","1","lingmat","mat_ages","len140",4
2015,"2","1","lingmat","mat_ages","len52",2
2015,"2","1","lingmat","mat_ages","len60",11
2015,"2","1","lingmat","mat_ages","len68",28
2015,"2","1","lingmat","mat_ages","len76",82
2015,"2","1","lingmat","mat_ages","len84",93
2015,"2","1","lingmat","mat_ages","len92",67
2016,"2","1","lingimm","mat_ages","len100",6
2016,"2","1","lingimm","mat_ages","len108",1
2016,"2","1","lingimm","mat_ages","len44",12
2016,"2","1","lingimm","mat_ages","len52",12
2016,"2","1","lingimm","mat_ages","len60",17
2016,"2","1","lingimm","mat_ages","len68",27
2016,"2","1","lingimm","mat_ages","len76",18
2016,"2","1","lingimm","mat_ages","len84",15
2016,"2","1","lingimm","mat_ages","len92",4
2016,"2","1","lingmat","mat_ages","len100",25
2016,"2","1","lingmat","mat_ages","len108",22
2016,"2","1","lingmat","mat_ages","len116",14
2016,"2","1","lingmat","mat_ages","len124",10
2016,"2","1","lingmat","mat_ages","len132",6
2016,"2","1","lingmat","mat_ages","len140",4
2016,"2","1","lingmat","mat_ages","len148",3
2016,"2","1","lingmat","mat_ages","len52",2
2016,"2","1","lingmat","mat_ages","len60",8
2016,"2","1","lingmat","mat_ages","len68",28
2016,"2","1","lingmat","mat_ages","len76",45
2016,"2","1","lingmat","mat_ages","len84",62
2016,"2","1","lingmat","mat_ages","len92",66
2017,"2","1","lingimm","mat_ages","len100",1
2017,"2","1","lingimm","mat_ages","len108",1
2017,"2","1","lingimm","mat_ages","len116",1
2017,"2","1","lingimm","mat_ages","len28",7
2017,"2","1","lingimm","mat_ages","len36",3
2017,"2","1","lingimm","mat_ages","len44",1
2017,"2","1","lingimm","mat_ages","len52",12
2017,"2","1","lingimm","mat_ages","len60",18
2017,"2","1","lingimm","mat_ages","len68",23
2017,"2","1","lingimm","mat_ages","len76",25
2017,"2","1","lingimm","mat_ages","len84",24
2017,"2","1","lingimm","mat_ages","len92",7
2017,"2","1","lingmat","mat_ages","len100",46
2017,"2","1","lingmat","mat_ages","len108",34
2017,"2","1","lingmat","mat_ages","len116",20
2017,"2","1","lingmat","mat_ages","len124",11
2017,"2","1","lingmat","mat_ages","len132",5
2017,"2","1","lingmat","mat_ages","len140",2
2017,"2","1","lingmat","mat_ages","len148",3
2017,"2","1","lingmat","mat_ages","len28",1
2017,"2","1","lingmat","mat_ages","len52",2
2017,"2","1","lingmat","mat_ages","len60",8
2017,"2","1","lingmat","mat_ages","len68",11
2017,"2","1","lingmat","mat_ages","len76",38
2017,"2","1","lingmat","mat_ages","len84",56
2017,"2","1","lingmat","mat_ages","len92",59
2018,"2","1","lingimm","mat_ages","len20",2
2018,"2","1","lingimm","mat_ages","len28",4
2018,"2","1","lingimm","mat_ages","len36",6
2018,"2","1","lingimm","mat_ages","len44",13
2018,"2","1","lingimm","mat_ages","len52",12
2018,"2","1","lingimm","mat_ages","len60",21
2018,"2","1","lingimm","mat_ages","len68",25
2018,"2","1","lingimm","mat_ages","len76",19
2018,"2","1","lingimm","mat_ages","len84",5
2018,"2","1","lingimm","mat_ages","len92",5
2018,"2","1","lingmat","mat_ages","len100",36
2018,"2","1","lingmat","mat_ages","len108",40
2018,"2","1","lingmat","mat_ages","len116",16
2018,"2","1","lingmat","mat_ages","len124",11
2018,"2","1","lingmat","mat_ages","len132",7
2018,"2","1","lingmat","mat_ages","len140",1
2018,"2","1","lingmat","mat_ages","len148",2
2018,"2","1","lingmat","mat_ages","len52",3
2018,"2","1","lingmat","mat_ages","len60",7
2018,"2","1","lingmat","mat_ages","len68",18
2018,"2","1","lingmat","mat_ages","len76",24
2018,"2","1","lingmat","mat_ages","len84",54
2018,"2","1","lingmat","mat_ages","len92",60
