"year","step","area","length","number"
1985,"2","1","len20",24
1986,"2","1","len20",37.0455
1987,"2","1","len20",24
1988,"2","1","len20",28
1989,"2","1","len20",46
1990,"2","1","len20",35
1991,"2","1","len20",18
1992,"2","1","len20",11
1993,"2","1","len20",23
1994,"2","1","len20",16
1995,"2","1","len20",24
1996,"2","1","len20",9
1997,"2","1","len20",36
1998,"2","1","len20",16
1999,"2","1","len20",14
2000,"2","1","len20",15
2001,"2","1","len20",8
2002,"2","1","len20",20
2003,"2","1","len20",33
2004,"2","1","len20",38
2005,"2","1","len20",78
2006,"2","1","len20",118
2007,"2","1","len20",132
2008,"2","1","len20",151
2009,"2","1","len20",122
2010,"2","1","len20",127.4
2011,"2","1","len20",133.143
2012,"2","1","len20",88
2013,"2","1","len20",35
2014,"2","1","len20",16
2015,"2","1","len20",18
2016,"2","1","len20",26
2017,"2","1","len20",25
2018,"2","1","len20",47
