"year","step","area","length","number"
1985,"2","1","len92",40
1986,"2","1","len92",48.1364
1987,"2","1","len92",32
1988,"2","1","len92",37
1989,"2","1","len92",60.8
1990,"2","1","len92",42
1991,"2","1","len92",21
1992,"2","1","len92",18
1993,"2","1","len92",19
1994,"2","1","len92",47
1995,"2","1","len92",19
1996,"2","1","len92",14
1997,"2","1","len92",26
1998,"2","1","len92",21
1999,"2","1","len92",24
2000,"2","1","len92",17
2001,"2","1","len92",9
2002,"2","1","len92",24
2003,"2","1","len92",21
2004,"2","1","len92",29
2005,"2","1","len92",34
2006,"2","1","len92",43
2007,"2","1","len92",87
2008,"2","1","len92",39
2009,"2","1","len92",43
2010,"2","1","len92",34
2011,"2","1","len92",44
2012,"2","1","len92",75
2013,"2","1","len92",107
2014,"2","1","len92",80
2015,"2","1","len92",113
2016,"2","1","len92",107
2017,"2","1","len92",118
2018,"2","1","len92",102
