"year","step","area","length","number"
1985,"2","1","len60",66
1986,"2","1","len60",102.5
1987,"2","1","len60",86
1988,"2","1","len60",63
1989,"2","1","len60",69.4
1990,"2","1","len60",66
1991,"2","1","len60",96
1992,"2","1","len60",95
1993,"2","1","len60",78
1994,"2","1","len60",55
1995,"2","1","len60",41
1996,"2","1","len60",33
1997,"2","1","len60",31
1998,"2","1","len60",32
1999,"2","1","len60",45
2000,"2","1","len60",24
2001,"2","1","len60",23
2002,"2","1","len60",34
2003,"2","1","len60",49
2004,"2","1","len60",61
2005,"2","1","len60",75
2006,"2","1","len60",87
2007,"2","1","len60",140
2008,"2","1","len60",144
2009,"2","1","len60",139
2010,"2","1","len60",197.4
2011,"2","1","len60",233.357
2012,"2","1","len60",229
2013,"2","1","len60",239.75
2014,"2","1","len60",122
2015,"2","1","len60",97
2016,"2","1","len60",55
2017,"2","1","len60",56
2018,"2","1","len60",67
