"year","step","area","length","number"
1985,"2","1","len52",26
1986,"2","1","len52",40
1987,"2","1","len52",15
1988,"2","1","len52",21
1989,"2","1","len52",39.4
1990,"2","1","len52",27
1991,"2","1","len52",66
1992,"2","1","len52",35
1993,"2","1","len52",18
1994,"2","1","len52",17
1995,"2","1","len52",7
1996,"2","1","len52",15
1997,"2","1","len52",22
1998,"2","1","len52",6
1999,"2","1","len52",8
2000,"2","1","len52",5
2001,"2","1","len52",6
2002,"2","1","len52",13
2003,"2","1","len52",24
2004,"2","1","len52",18
2005,"2","1","len52",24
2006,"2","1","len52",42
2007,"2","1","len52",81
2008,"2","1","len52",71
2009,"2","1","len52",100
2010,"2","1","len52",96.2
2011,"2","1","len52",72
2012,"2","1","len52",81
2013,"2","1","len52",41
2014,"2","1","len52",24
2015,"2","1","len52",25
2016,"2","1","len52",18
2017,"2","1","len52",15
2018,"2","1","len52",33
