"year","step","area","length","number"
1985,"2","1","len80",85
1986,"2","1","len80",149.682
1987,"2","1","len80",115
1988,"2","1","len80",75
1989,"2","1","len80",127.6
1990,"2","1","len80",69
1991,"2","1","len80",48
1992,"2","1","len80",67
1993,"2","1","len80",31
1994,"2","1","len80",99
1995,"2","1","len80",41
1996,"2","1","len80",39
1997,"2","1","len80",54
1998,"2","1","len80",32
1999,"2","1","len80",62
2000,"2","1","len80",44
2001,"2","1","len80",36
2002,"2","1","len80",54
2003,"2","1","len80",36
2004,"2","1","len80",68
2005,"2","1","len80",96
2006,"2","1","len80",113
2007,"2","1","len80",188
2008,"2","1","len80",144
2009,"2","1","len80",95
2010,"2","1","len80",107
2011,"2","1","len80",148.143
2012,"2","1","len80",226
2013,"2","1","len80",236.25
2014,"2","1","len80",201
2015,"2","1","len80",345
2016,"2","1","len80",173
2017,"2","1","len80",215
2018,"2","1","len80",152
